id;opis_korisnika;ciljevi;relevantan_1;relevantan_2;relevantan_3;relevantan_4;relevantan_5
S01;Imam 23 godine, vegetarijanka sam, san mi je u redu ali sam često pod stresom, tijekom dana sam umorna, teško se koncentriram, pijem puno kave i malo sam na suncu.;Želim bolje spavati, imati više energije i smanjiti stres.;;;;;
S02;Vegan sam i cijeli dan se osjećam iscrpljeno.;Želim više energije.;;;;;
S03;Imam 27 godina, treniram intenzivno gotovo svaki dan.;Želim bolji oporavak i bolju fizičku izvedbu.;;;;;
S04;Gotovo nikada ne jedem ribu.;Želim podržati zdravlje srca.;;;;;
S05;Radim u uredu i rijetko izlazim na sunce, zimi mi padne raspoloženje.;Želim jači imunitet i bolje raspoloženje.;;;;;
S06;Imam 34 godine, stalno sam umoran i teško se koncentriram na poslu.;Želim više energije i bolju koncentraciju.;;;;;
S07;Vrlo loše spavam, pod velikim sam stresom i pijem puno kave.;Želim bolje spavati i smanjiti stres.;;;;;
S08;Imam 29 godina, jedem sve, ali koža mi je loša i nokti mi pucaju.;Želim zdraviju kožu, jaču kosu i jače nokte.;;;;;
S09;Ne pijem kavu i nikada je nisam pila.;Želim bolje spavati.;;;;;
S10;Nemam problema sa snom, spavam odlično, ali sam preko dana umorna.;Želim više energije.;;;;;
S11;Imam 31 godinu, nisam trudna i ne dojim, ali sam pod stresom.;Želim smanjiti stres.;;;;;
S12;Nemam nikakvih alergija, jedem ribu redovito.;Želim podržati srce.;;;;;
S13;Cesto sam pod stresom i lose spavam.;Zelim smanjiti stres i bolje spavati.;;;;;
S14;Imam 26 godina, vegetarijanka sam i slabo izlazim na sunce.;Zelim jaci imunitet.;;;;;
S15;Puno treniram, aktivnost mi je visoka, stalno sam umoran.;Zelim bolji oporavak i vise energije.;;;;;
S16;Imam 33 godine, alergicna sam na mlijeko i intenzivno treniram.;Zelim bolji oporavak.;;;;;
S17;Imam 25 godina, I am vegan, često sam pod stresom.;Želim stress reduction i više energije.;;;;;
S18;I am 30 years old, vegetarijanka sam i trudna sam.;I want better sleep i manje stresa.;;;;;
S19;Trebam more energy, stalno sam tired i teško se fokusiram.;More energy and better focus.;;;;;
S20;Imam 27 godina i tesko se koncentiram na poslu.;Zelim bolju koncentracju.;;;;;
S21;Imam problema sa snom, stalo sam umorna i pijem puuno kave.;Zelim bolje spavti.;;;;;
S22;Vegetarjanka sam, imam 24 godne.;Zelim zdraviju kozu i jace nokte.;;;;;
S23;Imam 25 godina, veganka sam i intenzivno treniram.;Želim zdraviju kožu, jaču kosu, jače nokte i bolji oporavak.;;;;;
S24;Imam 30 godina, vegetarijanka sam i ne vježbam puno.;Želim zdraviju kožu, jaču kosu, jače nokte i bolji oporavak.;;;;;
S25;Imam 26 godina i jako sam alergična na ribu.;Želim podržati srce i koncentraciju.;;;;;
S26;Imam 45 godina, alergičan sam na plodove mora, bole me zglobovi.;Želim bolji oporavak i opće zdravlje.;;;;;
S27;Imam 22 godine, ne podnosim mlijeko, treniram svaki dan.;Želim bolju fizičku izvedbu i oporavak.;;;;;
S28;Imam 38 godina, alergična sam na gljive i teško se koncentriram.;Želim bolju koncentraciju i raspoloženje.;;;;;
S29;Imam 31 godinu, trudna sam, pod stresom sam i loše spavam.;Želim smanjiti stres i bolje spavati.;;;;;
S30;Imam 29 godina, dojim bebu, iscrpljena sam i pod stresom.;Želim više energije i manje stresa.;;;;;
S31;Imam 32 godine, veganka sam i trudna, malo sam na suncu.;Želim jači imunitet, zdravlje kostiju i manje stresa.;;;;;
S32;Imam 28 godina, veganka sam i alergična na ribu.;Želim podržati srce, kožu i opće zdravlje.;;;;;
S33;Imam 40 godina.;Želim zdravlje kostiju.;;;;;
S34;Ništa posebno, osjećam se dobro.;Zanima me opće zdravlje.;;;;;
