naziv;opis
ashwagandha;Adaptogena biljka koja smanjuje stres i balansira kortizol.
b_complex;Skup vitamina B važnih za živčani sustav i energiju.
beta_alanine;Aminokiselina koja poboljšava sportske performanse.
biotin;Vitamin B skupine važan za kosu, kožu i nokte.
calcium;Mineral za kosti i mišićnu funkciju.
coenzyme_q10;Spoj koji podržava energiju i zdravlje srca.
collagen;Protein važan za kožu, kosu, nokte i zglobove.
creatine;Dodatak koji poboljšava snagu i oporavak mišića.
curcumin;Biljni ekstrakt snažnog protuupalnog i antioksidativnog djelovanja, najčešće standardiziran na kurkumin.
elderberry;Biljni dodatak za podršku imunitetu.
electrolytes;Minerali koji održavaju hidrataciju i mišićnu funkciju.
gaba;Neurotransmiter koji potiče smirenost i smanjuje napetost.
glucosamine_chondroitin;Dodatak za zglobove i hrskavicu.
glycine;Aminokiselina koja poboljšava san i regeneraciju.
hyaluronic_acid;Spoj važan za hidrataciju kože.
iron;Mineral važan za transport kisika u krvi.
l_carnitine;Pomaže transport masti u mitohondrije za energiju.
l_theanine;Aminokiselina koja potiče opuštanje bez sedacije i poboljšava fokus.
lions_mane;Gljiva koja podupire kognitivne funkcije.
magnesium_glycinate;Oblik magnezija koji se dobro apsorbira i koristi za opuštanje živčanog sustava i bolji san.
melatonin;Hormon koji regulira ritam spavanja.
msm;Spoj sa sumporom za zglobove, kosu i kožu.
omega_3;Esencijalne masne kiseline važne za mozak, srce i upalne procese.
probiotics;Korisne bakterije za probavu i imunitet.
protein_powder;Izvor proteina za oporavak i rast mišića.
resveratrol;Polifenol iz grožđa poznat po snažnom antioksidativnom djelovanju i podršci zdravlju srca.
rhodiola_rosea;Adaptogena biljka za otpornost na stres i mentalnu energiju.
selenium;Mineral koji podržava štitnjaču i imunitet.
silica;Mineral za kosu, kožu i nokte.
valerian_root;Biljni dodatak za opuštanje i bolji san.
vitamin_b12;Ključan za energiju, živčani sustav i proizvodnju crvenih krvnih stanica.
vitamin_c;Antioksidans važan za imunitet.
vitamin_d3;Vitamin važan za imunitet, raspoloženje i zdravlje kostiju.
vitamin_k2;Vitamin važan za kosti i srce.
zinc;Mineral važan za imunitet, kožu i hormone.
